deleted network stats,12-12-2022_20:28:36
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:13 ####################
Sent,0.0 MB
Received,0.041015625 MB
#################### NETWORK STATS 15/12/2022 00:41:15 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:16 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:17 ####################
Sent,0.0 MB
Received,0.041015625 MB
#################### NETWORK STATS 15/12/2022 00:41:18 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:20 ####################
Sent,0.1396484375 MB
Received,0.271484375 MB
#################### NETWORK STATS 15/12/2022 00:41:21 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:22 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:23 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:25 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:26 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:27 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 00:41:29 ####################
Sent,0.0 MB
Received,0.2119140625 MB
#################### NETWORK STATS 15/12/2022 00:41:30 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 00:41:31 ####################
Sent,0.044921875 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:32 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:34 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:35 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:36 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:37 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:39 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:40 ####################
