#################### MEMORY STATS 13/12/2022 14:02:18 ####################
Total memory,15.87 GB
Available memory,5.04 GB
In use memory,10.83 GB
Memory usage,5.04%
#################### MEMORY STATS 13/12/2022 14:02:19 ####################
Total memory,15.87 GB
Available memory,5.05 GB
In use memory,10.82 GB
Memory usage,5.05%
#################### MEMORY STATS 13/12/2022 14:02:20 ####################
Total memory,15.87 GB
Available memory,5.1 GB
In use memory,10.77 GB
Memory usage,5.1%
#################### MEMORY STATS 13/12/2022 14:02:22 ####################
Total memory,15.87 GB
Available memory,5.17 GB
In use memory,10.7 GB
Memory usage,5.17%
#################### MEMORY STATS 13/12/2022 14:02:23 ####################
Total memory,15.87 GB
Available memory,5.18 GB
In use memory,10.69 GB
Memory usage,5.18%
#################### MEMORY STATS 15/12/2022 00:38:56 ####################
Total memory,15.87 GB
Available memory,6.17 GB
In use memory,9.7 GB
Memory usage,6.17%
#################### MEMORY STATS 15/12/2022 00:38:57 ####################
Total memory,15.87 GB
Available memory,6.16 GB
In use memory,9.71 GB
Memory usage,6.16%
#################### MEMORY STATS 15/12/2022 00:38:58 ####################
Total memory,15.87 GB
Available memory,6.16 GB
In use memory,9.71 GB
Memory usage,6.16%
#################### MEMORY STATS 15/12/2022 00:38:59 ####################
Total memory,15.87 GB
Available memory,6.16 GB
In use memory,9.71 GB
Memory usage,6.16%
#################### MEMORY STATS 15/12/2022 00:39:01 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.7 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:02 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:03 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:04 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.69 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:06 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:07 ####################
Total memory,15.87 GB
Available memory,6.17 GB
In use memory,9.7 GB
Memory usage,6.17%
#################### MEMORY STATS 15/12/2022 00:39:08 ####################
Total memory,15.87 GB
Available memory,6.17 GB
In use memory,9.7 GB
Memory usage,6.17%
#################### MEMORY STATS 15/12/2022 00:39:10 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:11 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.67 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:12 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.68 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:13 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:15 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:16 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.68 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:17 ####################
Total memory,15.87 GB
Available memory,6.21 GB
In use memory,9.66 GB
Memory usage,6.21%
#################### MEMORY STATS 15/12/2022 00:39:18 ####################
Total memory,15.87 GB
Available memory,6.21 GB
In use memory,9.66 GB
Memory usage,6.21%
#################### MEMORY STATS 15/12/2022 00:39:20 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.67 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:21 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.67 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:22 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:23 ####################
Total memory,15.87 GB
Available memory,6.17 GB
In use memory,9.7 GB
Memory usage,6.17%
#################### MEMORY STATS 15/12/2022 00:39:25 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:26 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:27 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:28 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:30 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:31 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:32 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:33 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:35 ####################
Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.67 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:36 ####################
Total memory,15.87 GB
Available memory,6.19 GB
In use memory,9.68 GB
Memory usage,6.19%
#################### MEMORY STATS 15/12/2022 00:39:37 ####################
